Country,Indicator,Indicator_Type,SeriesCode,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,3.49,4.21,6.39,0.0,0.0,9.98,6.69,6.8,8.18,8.45,6.59,4.02,0.0,0.0
Albania,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,12.41,21.01,20.83,16.17,12.87,15.28,9.5,10.6,9.46,8.7,12.24,14.67,16.259999999999998,12.87,13.91,6.65,8.21,6.04,6.87,6.779999999999999,6.39,6.94,4.96,0.0
Algeria,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.8,0.95,0.79,0.71,0.77,2.71,2.35,4.43,4.109999999999999,3.99,3.78,4.029999999999999,3.62,4.48,4.69,5.2700000000000005,0.0
American Samoa,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,1.71,12.03,5.18,6.94,10.48,7.04,1.77,5.37,3.61,9.12,9.21,3.72,5.66,5.75,7.79,0.0,42.48,80.69,0.0,0.0,0.0,0.0,0.0
Andorra,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,4.02,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.619999999999999,0.0,0.0,0.0
Angola,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,4.83,0.0,0.0,4.46,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,27.42,0.0,17.3,17.03,8.38,0.0,40.57,31.94,23.84,23.44,0.0,0.0,37.16,22.16,28.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,6.66,28.48,19.87,6.4,5.07,3.76,13.6,20.73,58.55,18.93,7.0,0.0,11.41,0.0,0.0,11.45,20.43,67.57,39.95,9.89,29.86,52.14,32.81,0.0
Argentina,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,8.35,9.42,7.75,6.05,5.63,5.35,5.36,5.89,6.49,5.8,6.05,6.31,7.25,7.54,19.78,6.01,15.84,16.18,15.53,16.18,13.94,12.98,0.0
Armenia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,8.77,8.629999999999999,6.79,5.16,8.31,5.88,7.979999999999999,7.95,10.01,10.09,5.91,7.479999999999999,6.88,6.69,7.7,8.06,9.23,7.72,5.51,8.18,5.73,6.84,0.0,0.0
Aruba,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,13.25,16.64,13.15,6.620000000000001,19.46,16.0,9.6,15.61,12.3,12.35,6.109999999999999,11.96,17.9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,5.71,5.42,5.64,4.6,3.96,3.85,4.12,3.67,3.69,3.64,3.15,3.33,3.21,3.18,3.12,2.98,2.82,2.54,2.64,2.66,2.61,2.22,2.52,0.0
Austria,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,3.05,2.6,2.41,1.85,2.16,1.98,2.22,1.62,2.1,1.83,2.19,2.76,2.89,2.16,1.47,1.54,1.86,2.39,2.92,2.61,2.19,2.18,2.64,0.0
Azerbaijan,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,2.76,2.63,2.53,0.0,0.0,0.0,0.0,2.13,2.13,0.0,6.73,6.78,6.42,6.92,7.29,6.44,5.08,5.43,5.84,4.94,6.73,5.75,7.53,0.0
Bahamas,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,68.9,39.620000000000005,47.12,44.900000000000006,39.1,45.44,52.74,66.49,61.4,72.13,76.81,102.62,88.12,93.27,96.06,113.87,86.1,94.04,69.75,72.27,55.03,89.93,96.15,0.0
Bahrain,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,1.23,1.07,0.0,0.0,0.0,0.0,0.38,0.54,1.1,0.51,2.67,2.0,2.35,1.8,0.58,0.81,1.14,0.8800000000000001,0.77,0.0,0.25,0.0,0.0
Bangladesh,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,2.59,2.79,2.61,2.54,2.81,2.55,2.92,2.68,2.82,2.88,2.69,2.64,2.7,2.85,2.89,2.56,2.25,2.19,2.34,0.0,0.0,0.0,0.0,0.0
Barbados,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,23.01,28.8,28.49,37.41,25.26,32.67,39.93,28.1,25.85,21.28,34.4,30.200000000000003,24.52,26.36,27.66,34.27,24.28,33.07,30.67,52.6,44.91,34.760000000000005,46.98,0.0
Belarus,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,9.88,9.5,9.76,0.0,0.0,0.0,0.0,20.19,17.26,15.16,12.6,11.78,10.7,10.55,10.74,10.26,9.67,7.52,7.11,7.09,0.0,0.0,0.0,0.0
Belgium,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,6.22,8.24,9.27,4.44,5.140000000000001,4.22,4.199999999999999,3.98,3.81,3.51,3.49,3.91,3.74,3.7,3.78,4.12,3.09,3.48,3.33,2.54,0.0,3.26,0.0,0.0
Belize,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,17.05,25.8,33.99,25.38,86.85,28.89,31.86,32.64,33.7,92.57,120.08,112.76,128.83,85.97999999999999,104.45,98.89,112.35,113.27,111.91,102.95,77.21000000000001,93.43,83.39,0.0
Bermuda,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,4.86,1.61,3.2,4.699999999999999,9.7,4.76,4.75,7.9,28.770000000000003,33.72,38.14,28.85,24.06,19.12,19.36,38.78,24.18,24.1,0.0,33.129999999999995,33.3,43.120000000000005,19.200000000000003
Bhutan,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,3.07,3.15,3.07,0.79,2.31,1.66,1.34,2.05,2.61,2.29,2.27,4.49,4.58,3.29,0.0,4.71,3.59,5.09,3.47,3.0700000000000003,7.26,0.0,0.0,0.0
Bolivia (Plurinational State of),16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,14.39,16.6,19.17,14.47,12.39,10.26,10.06,11.34,12.53
Bosnia and Herzegovina,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,7.18,5.89,6.47,0.0,1.64,0.0,0.0,1.65,1.67,5.55,4.45,4.109999999999999,5.17,3.84,4.23,4.88,3.9,3.69,3.47,3.78,3.93,2.95,3.19,0.0
Botswana,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,12.09,14.21,17.08,13.93,15.37,13.53,14.24,14.0,14.1,14.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52,18.18,0.0,0.0
Brazil,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,77.77,81.12,83.05000000000001,84.38,79.08,76.92,78.6,75.56,78.58,79.92,80.47,79.63,85.22,85.15,88.72,85.72,89.47999999999999,92.52,80.54,62.95,67.69,64.34,62.38,0.0
