Country,Indicator,Indicator_Type,SeriesCode,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Role
Afghanistan,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,0,0,0,0,0,0,0,0,4.07,3.49,4.21,6.39,0,0,9.98,6.69,6.8,8.18,8.45,6.59,4.02,0,0,Not Assigned
Albania,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,12.41,21.01,20.83,16.17,12.87,15.28,9.5,10.6,9.46,8.7,12.24,14.67,16.26,12.87,13.91,6.65,8.21,6.04,6.87,6.78,6.39,6.94,4.96,0,Not Assigned
Algeria,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,0,0,0,0,0,0.93,0.8,0.95,0.79,0.71,0.77,2.71,2.35,4.43,4.11,3.99,3.78,4.03,3.62,4.48,4.69,5.27,0,Not Assigned
American Samoa,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,1.71,12.03,5.18,6.94,10.48,7.04,1.77,5.37,3.61,9.12,9.21,3.72,5.66,5.75,7.79,0,42.48,80.69,0,0,0,0,0,Not Assigned
Andorra,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,0,0,0,1.3,0,0,0,4.02,0,0,4.22,0,0,0,0,0,0,0,0,7.62,0,0,0,Not Assigned
Angola,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,0,0,0,0,0,0,0,0,0,0,4.35,4.83,0,0,4.46,4.1,0,0,0,0,0,0,0,Not Assigned
Anguilla,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,27.42,0,17.3,17.03,8.38,0,40.57,31.94,23.84,23.44,0,0,37.16,22.16,28.33,0,0,0,0,0,0,0,0,0,Not Assigned
Antigua and Barbuda,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,6.66,28.48,19.87,6.4,5.07,3.76,13.6,20.73,58.55,18.93,7,0,11.41,0,0,11.45,20.43,67.57,39.95,9.89,29.86,52.14,32.81,0,Not Assigned
Argentina,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,8.35,9.42,7.75,6.05,5.63,5.35,5.36,5.89,6.49,5.8,6.05,6.31,7.25,7.54,19.78,6.01,15.84,16.18,15.53,16.18,13.94,12.98,0,Not Assigned
Armenia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,8.77,8.63,6.79,5.16,8.31,5.88,7.98,7.95,10.01,10.09,5.91,7.48,6.88,6.69,7.7,8.06,9.23,7.72,5.51,8.18,5.73,6.84,0,0,Not Assigned
Aruba,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,13.25,16.64,13.15,6.62,19.46,16,9.6,15.61,12.3,12.35,6.11,11.96,17.9,6,0,0,0,0,0,0,0,0,0,Not Assigned
Australia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,5.71,5.42,5.64,4.6,3.96,3.85,4.12,3.67,3.69,3.64,3.15,3.33,3.21,3.18,3.12,2.98,2.82,2.54,2.64,2.66,2.61,2.22,2.52,0,Torchbearer
Austria,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,3.05,2.6,2.41,1.85,2.16,1.98,2.22,1.62,2.1,1.83,2.19,2.76,2.89,2.16,1.47,1.54,1.86,2.39,2.92,2.61,2.19,2.18,2.64,0,Not Assigned
Azerbaijan,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,2.76,2.63,2.53,0,0,0,0,2.13,2.13,0,6.73,6.78,6.42,6.92,7.29,6.44,5.08,5.43,5.84,4.94,6.73,5.75,7.53,0,Not Assigned
Bahamas,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,68.9,39.62,47.12,44.9,39.1,45.44,52.74,66.49,61.4,72.13,76.81,102.62,88.12,93.27,96.06,113.87,86.1,94.04,69.75,72.27,55.03,89.93,96.15,0,Not Assigned
Bahrain,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,1.23,1.07,0,0,0,0,0.38,0.54,1.1,0.51,2.67,2,2.35,1.8,0.58,0.81,1.14,0.88,0.77,0,0.25,0,0,Not Assigned
Bangladesh,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,2.59,2.79,2.61,2.54,2.81,2.55,2.92,2.68,2.82,2.88,2.69,2.64,2.7,2.85,2.89,2.56,2.25,2.19,2.34,0,0,0,0,0,Not Assigned
Barbados,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,23.01,28.8,28.49,37.41,25.26,32.67,39.93,28.1,25.85,21.28,34.4,30.2,24.52,26.36,27.66,34.27,24.28,33.07,30.67,52.6,44.91,34.76,46.98,0,Not Assigned
Belarus,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,9.88,9.5,9.76,0,0,0,0,20.19,17.26,15.16,12.6,11.78,10.7,10.55,10.74,10.26,9.67,7.52,7.11,7.09,0,0,0,0,Not Assigned
Belgium,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,6.22,8.24,9.27,4.44,5.14,4.22,4.2,3.98,3.81,3.51,3.49,3.91,3.74,3.7,3.78,4.12,3.09,3.48,3.33,2.54,0,3.26,0,0,Not Assigned
Belize,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,17.05,25.8,33.99,25.38,86.85,28.89,31.86,32.64,33.7,92.57,120.08,112.76,128.83,85.98,104.45,98.89,112.35,113.27,111.91,102.95,77.21,93.43,83.39,0,Not Assigned
Bermuda,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,4.86,1.61,3.2,4.7,9.7,4.76,4.75,7.9,28.77,33.72,38.14,28.85,24.06,19.12,19.36,38.78,24.18,24.1,0,33.13,33.3,43.12,19.2,Not Assigned
Bhutan,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,3.07,3.15,3.07,0.79,2.31,1.66,1.34,2.05,2.61,2.29,2.27,4.49,4.58,3.29,0,4.71,3.59,5.09,3.47,3.07,7.26,0,0,0,Not Assigned
Bolivia (Plurinational State of),16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,14.39,16.6,19.17,14.47,12.39,10.26,10.06,11.34,12.53,Not Assigned
Bosnia and Herzegovina,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,7.18,5.89,6.47,0,1.64,0,0,1.65,1.67,5.55,4.45,4.11,5.17,3.84,4.23,4.88,3.9,3.69,3.47,3.78,3.93,2.95,3.19,0,Not Assigned
Botswana,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,12.09,14.21,17.08,13.93,15.37,13.53,14.24,14,14.1,14.49,0,0,0,0,0,0,0,0,0,17.52,18.18,0,0,Not Assigned
Brazil,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,77.77,81.12,83.05,84.38,79.08,76.92,78.6,75.56,78.58,79.92,80.47,79.63,85.22,85.15,88.72,85.72,89.48,92.52,80.54,62.95,67.69,64.34,62.38,0,Beneficiary
British Virgin Islands,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,14.28,13.92,27.3,52.71,0,24.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Assigned
Brunei Darussalam,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,3.61,0,0,0.85,0.55,0.55,0.8,0.79,0.26,0.77,0.25,0.25,0.98,0.49,0,0,0,0,0,0,0,0,0,0,Not Assigned
Bulgaria,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,12.44,11.68,9.73,9.5,9.43,7.73,7.27,6.97,6.82,5.97,5.94,5.15,5.71,4.44,4.61,5.23,3.3,4.33,3.89,3.56,2.98,3.91,3.38,0,Not Assigned
Burundi,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,0,0,0,0,0,0,0,0,0,0,0,5.1,15.42,16.18,12.94,17.53,0,0,0,0,0,0,0,Not Assigned
Cabo Verde,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,0,0,3.12,4.32,8.93,7.02,0,0,0,0,20.16,21.04,30.07,35.77,25.05,11.1,20.23,16.32,17.2,18.57,0,0,0,Not Assigned
Cambodia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,4.71,3.3,3.38,3.98,3.93,3.38,2.97,2.87,2.39,2.34,2.3,1.84,0,0,0,0,0,0,0,0,0,0,0,0,Not Assigned
Cameroon,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,3.04,4.87,6.48,6.13,0,0,0,0,4.13,6.61,5.03,4.08,4.18,0,0,11.24,9.97,12.37,0,0,13.63,0,0,0,Not Assigned
Canada,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,5.35,5.38,5.59,5.23,5.89,6.2,5.63,5.47,5.57,5.47,4.93,5.33,4.76,4.36,4.45,5.14,5.13,5.47,5.37,5.5,6.03,6.23,6.78,0,Torchbearer
Cayman Islands,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,30.45,14.62,0,20.59,33.31,19.44,6.18,12.09,23.65,45.86,50.23,0,0,25.77,25.14,0,0,4.72,10.79,3.02,4.46,0,0,0,Not Assigned
Chile,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,0,0,3.23,0,10.72,10.87,11.24,10.63,11.26,9.57,11.14,7.53,9.56,7.46,7.05,10.33,12.77,13.29,14.6,17.4,14,20.31,0,Not Assigned
China,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0,0,2.05,1.89,1.91,1.59,1.37,1.22,1.11,1.1,0.99,0.89,0.83,0.77,0.73,0.66,0.62,0.57,0.53,0.52,0.5,0,0,0,Torchbearer
"China, Hong Kong Special Administrative Region",16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.64,0.97,1.01,2.28,1.96,1.48,1.51,0.77,1.52,1.99,1.47,0.72,1.12,2.54,1.11,0.91,1.15,0.95,1.97,0.96,0.89,0.9,1.21,0,Torchbearer
"China, Macao Special Administrative Region",16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,2.32,1.82,0.44,1.73,0.84,0.82,1.99,1.16,2.24,2.75,1.11,2.08,2.1,0.49,0.49,0.47,0.5,0.9,0.93,0.94,0.86,1.26,0.83,1.71,Torchbearer
