Country,Indicator,Indicator_Type,SeriesCode,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Role
Austria,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.59576,0.0,98.20522,0.0,Donor
France,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.50121,0.0,87.94422,0.0,Donor
Germany,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.26206,0.0,98.96163,0.0,Donor
Paraguay,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.14752,0.0,Donor
Peru,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6528,0.0,Donor
Philippines,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.94676,0.0,66.58663,0.0,Donor
Portugal,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.58287,0.0,87.51369,0.0,Donor
Samoa,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.68055,0.0,42.8632,0.0,Donor
Spain,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.01582,0.0,79.90253,0.0,Donor
Sweden,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.2005,0.0,96.98074,0.0,Donor
Switzerland,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.20436,0.0,99.29131,0.0,Donor
Albania,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.35422,0.0,19.46666,0.0,Other
Algeria,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.16699,0.0,76.18773,0.0,Other
American Samoa,6.3.1,Proportion of safely treated domestic wastewater flows (%),EN_WWT_WWDS,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.01258,0.0,77.49963,0.0,Other
