Country,Indicator,Indicator_Type,SeriesCode,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Role
Afghanistan,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,3.49,4.21,6.39,0.0,0.0,9.98,6.69,6.8,8.18,8.45,6.59,4.02,0.0,0.0,Not Assigned
Albania,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,12.41,21.01,20.83,16.17,12.87,15.28,9.5,10.6,9.46,8.7,12.24,14.67,16.259999999999998,12.87,13.91,6.65,8.21,6.04,6.87,6.779999999999999,6.39,6.94,4.96,0.0,Not Assigned
Algeria,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.8,0.95,0.79,0.71,0.77,2.71,2.35,4.43,4.109999999999999,3.99,3.78,4.029999999999999,3.62,4.48,4.69,5.2700000000000005,0.0,Not Assigned
American Samoa,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,1.71,12.03,5.18,6.94,10.48,7.04,1.77,5.37,3.61,9.12,9.21,3.72,5.66,5.75,7.79,0.0,42.48,80.69,0.0,0.0,0.0,0.0,0.0,Not Assigned
Andorra,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,4.02,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.619999999999999,0.0,0.0,0.0,Not Assigned
Angola,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,4.83,0.0,0.0,4.46,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Anguilla,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,27.42,0.0,17.3,17.03,8.38,0.0,40.57,31.94,23.84,23.44,0.0,0.0,37.16,22.16,28.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Antigua and Barbuda,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,6.66,28.48,19.87,6.4,5.07,3.76,13.6,20.73,58.55,18.93,7.0,0.0,11.41,0.0,0.0,11.45,20.43,67.57,39.95,9.89,29.86,52.14,32.81,0.0,Not Assigned
Argentina,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,8.35,9.42,7.75,6.05,5.63,5.35,5.36,5.89,6.49,5.8,6.05,6.31,7.25,7.54,19.78,6.01,15.84,16.18,15.53,16.18,13.94,12.98,0.0,Not Assigned
Armenia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,8.77,8.629999999999999,6.79,5.16,8.31,5.88,7.979999999999999,7.95,10.01,10.09,5.91,7.479999999999999,6.88,6.69,7.7,8.06,9.23,7.72,5.51,8.18,5.73,6.84,0.0,0.0,Not Assigned
Aruba,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,13.25,16.64,13.15,6.620000000000001,19.46,16.0,9.6,15.61,12.3,12.35,6.109999999999999,11.96,17.9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Australia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,5.71,5.42,5.64,4.6,3.96,3.85,4.12,3.67,3.69,3.64,3.15,3.33,3.21,3.18,3.12,2.98,2.82,2.54,2.64,2.66,2.61,2.22,2.52,0.0,Torchbearer
